gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
11,2022-04-28,Thu,19:45 (11:45),Chelsea,Tottenham,2,1,2–1,1.8,0.1,Cherry Red Records Fans' Stadium,3660,Jack Packman,completed,home_win,https://fbref.com/en/squads/a6a4e67d/2021-2022/Chelsea-Women-Stats,https://fbref.com/en/squads/e8e4577c/2021-2022/Tottenham-Women-Stats,https://fbref.com/en/matches/855c6425/Chelsea-Tottenham-April-28-2022-Womens-Super-League
21,2022-04-30,Sat,11:30 (03:30),Manchester City,Brighton,7,2,7–2,3.3,1.4,Academy Stadium,1377,Amy Fearn,completed,home_win,https://fbref.com/en/squads/9ce68f8a/2021-2022/Manchester-City-Women-Stats,https://fbref.com/en/squads/fa2752bc/2021-2022/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/matches/3a08f3e5/Manchester-City-Brighton-and-Hove-Albion-April-30-2022-Womens-Super-League
21,2022-05-01,Sun,12:00 (04:00),Manchester Utd,West Ham,3,,3–0,2.1,0.4,Leigh Sports Village Stadium,2546,Lucy May,completed,home_win,https://fbref.com/en/squads/0bbd83f6/2021-2022/Manchester-United-Women-Stats,https://fbref.com/en/squads/52d65cea/2021-2022/West-Ham-United-Women-Stats,https://fbref.com/en/matches/6b8c586d/Manchester-United-West-Ham-United-May-1-2022-Womens-Super-League
21,2022-05-01,Sun,14:00 (06:00),Leicester City,Reading,,,0–0,1.2,0.7,King Power Stadium,2244,Richie Watkins,completed,draw,https://fbref.com/en/squads/23bce84e/2021-2022/Leicester-City-Women-Stats,https://fbref.com/en/squads/5d020380/2021-2022/Reading-Women-Stats,https://fbref.com/en/matches/80f6d29b/Leicester-City-Reading-May-1-2022-Womens-Super-League
21,2022-05-01,Sun,14:15 (06:15),Arsenal,Aston Villa,7,,7–0,3.1,0.1,Meadow Park,2305,Lisa Benn,completed,home_win,https://fbref.com/en/squads/411b1108/2021-2022/Arsenal-Women-Stats,https://fbref.com/en/squads/53157aa8/2021-2022/Aston-Villa-Women-Stats,https://fbref.com/en/matches/5c77fb25/Arsenal-Aston-Villa-May-1-2022-Womens-Super-League
21,2022-05-01,Sun,18:45 (10:45),Birmingham City,Chelsea,,1,0–1,0.5,2.0,St Andrew's Trillion Trophy Stadium,1429,Emily Heaslip,completed,away_win,https://fbref.com/en/squads/e3719fe4/Birmingham-City-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2021-2022/Chelsea-Women-Stats,https://fbref.com/en/matches/68817bc3/Birmingham-City-Chelsea-May-1-2022-Womens-Super-League
21,2022-05-01,Sun,19:30 (11:30),Everton,Tottenham,2,2,2–2,1.2,2.6,Walton Hall Park,462,Lauren Impey,completed,draw,https://fbref.com/en/squads/c4989550/2021-2022/Everton-Women-Stats,https://fbref.com/en/squads/e8e4577c/2021-2022/Tottenham-Women-Stats,https://fbref.com/en/matches/9f786683/Everton-Tottenham-May-1-2022-Womens-Super-League
18,2022-05-04,Wed,19:00 (11:00),Manchester City,Birmingham City,6,,6–0,3.1,0.0,Academy Stadium,1207,Jane Simms,completed,home_win,https://fbref.com/en/squads/9ce68f8a/2021-2022/Manchester-City-Women-Stats,https://fbref.com/en/squads/e3719fe4/Birmingham-City-Women-Stats,https://fbref.com/en/matches/ed106a54/Manchester-City-Birmingham-City-May-4-2022-Womens-Super-League
18,2022-05-04,Wed,19:15 (11:15),Arsenal,Tottenham,3,,3–0,1.5,1.1,Emirates Stadium,12800,Louise Saunders,completed,home_win,https://fbref.com/en/squads/411b1108/2021-2022/Arsenal-Women-Stats,https://fbref.com/en/squads/e8e4577c/2021-2022/Tottenham-Women-Stats,https://fbref.com/en/matches/c0b6cdd9/North-London-Derby-Arsenal-Tottenham-May-4-2022-Womens-Super-League
22,2022-05-08,Sun,12:00 (04:00),Reading,Manchester City,,4,0–4,0.3,2.8,Select Car Leasing Stadium,1200,Naguy Maertens,completed,away_win,https://fbref.com/en/squads/5d020380/2021-2022/Reading-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2021-2022/Manchester-City-Women-Stats,https://fbref.com/en/matches/2a69c8ca/Reading-Manchester-City-May-8-2022-Womens-Super-League
22,2022-05-08,Sun,12:00 (04:00),Brighton,Everton,1,1,1–1,0.7,0.6,The People’s Pension Stadium,1371,Louise Saunders,completed,draw,https://fbref.com/en/squads/fa2752bc/2021-2022/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/squads/c4989550/2021-2022/Everton-Women-Stats,https://fbref.com/en/matches/3098b58d/Brighton-and-Hove-Albion-Everton-May-8-2022-Womens-Super-League
22,2022-05-08,Sun,12:00 (04:00),West Ham,Arsenal,,2,0–2,0.5,1.2,Chigwell Construction Stadium,2585,Emily Heaslip,completed,away_win,https://fbref.com/en/squads/52d65cea/2021-2022/West-Ham-United-Women-Stats,https://fbref.com/en/squads/411b1108/2021-2022/Arsenal-Women-Stats,https://fbref.com/en/matches/baf6e6bf/West-Ham-United-Arsenal-May-8-2022-Womens-Super-League
22,2022-05-08,Sun,12:00 (04:00),Chelsea,Manchester Utd,4,2,4–2,1.4,0.6,Cherry Red Records Fans' Stadium,4378,Abigail Bryne,completed,home_win,https://fbref.com/en/squads/a6a4e67d/2021-2022/Chelsea-Women-Stats,https://fbref.com/en/squads/0bbd83f6/2021-2022/Manchester-United-Women-Stats,https://fbref.com/en/matches/33b0a832/Chelsea-Manchester-United-May-8-2022-Womens-Super-League
22,2022-05-08,Sun,12:00 (04:00),Tottenham,Leicester City,1,,1–0,1.1,0.6,Tottenham Hotspur Stadium,3994,Kirsty Dowle,completed,home_win,https://fbref.com/en/squads/e8e4577c/2021-2022/Tottenham-Women-Stats,https://fbref.com/en/squads/23bce84e/2021-2022/Leicester-City-Women-Stats,https://fbref.com/en/matches/443ae00d/Tottenham-Leicester-City-May-8-2022-Womens-Super-League
22,2022-05-08,Sun,12:00 (04:00),Aston Villa,Birmingham City,,1,0–1,1.0,0.5,Villa Park,8367,Rebecca Welch,completed,away_win,https://fbref.com/en/squads/53157aa8/2021-2022/Aston-Villa-Women-Stats,https://fbref.com/en/squads/e3719fe4/Birmingham-City-Women-Stats,https://fbref.com/en/matches/cb23fed0/Aston-Villa-Birmingham-City-May-8-2022-Womens-Super-League
