gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
11,2023-01-14,Sat,12:30 (04:30),Aston Villa,Tottenham,2,1,2–1,0.9,0.8,Poundland Bescot Stadium,2049,Thomas Kirk,completed,home_win,https://fbref.com/en/squads/53157aa8/2022-2023/Aston-Villa-Women-Stats,https://fbref.com/en/squads/e8e4577c/2022-2023/Tottenham-Women-Stats,https://fbref.com/en/matches/8b3b83e4/Aston-Villa-Tottenham-January-14-2023-Womens-Super-League
11,2023-01-15,Sun,12:00 (04:00),Arsenal,Chelsea,1,1,1–1,1.6,1.3,Emirates Stadium,46881,Emily Heaslip,completed,draw,https://fbref.com/en/squads/411b1108/2022-2023/Arsenal-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2022-2023/Chelsea-Women-Stats,https://fbref.com/en/matches/794766b1/Arsenal-Chelsea-January-15-2023-Womens-Super-League
11,2023-01-15,Sun,13:00 (05:00),Everton,Reading,3,2,3–2,1.1,0.9,Walton Hall Park,616,Tom Reeves,completed,home_win,https://fbref.com/en/squads/c4989550/2022-2023/Everton-Women-Stats,https://fbref.com/en/squads/5d020380/Reading-Women-Stats,https://fbref.com/en/matches/8f9aab1f/Everton-Reading-January-15-2023-Womens-Super-League
11,2023-01-15,Sun,14:05 (06:05),Manchester Utd,Liverpool,6,,6–0,2.7,0.2,Leigh Sports Village Stadium,7662,Kirsty Dowle,completed,home_win,https://fbref.com/en/squads/0bbd83f6/2022-2023/Manchester-United-Women-Stats,https://fbref.com/en/squads/00f74a56/2022-2023/Liverpool-Women-Stats,https://fbref.com/en/matches/4e49e91c/North-West-Derby-Manchester-United-Liverpool-January-15-2023-Womens-Super-League
11,2023-01-15,Sun,15:00 (07:00),Leicester City,Brighton,3,,3–0,1.4,0.7,King Power Stadium,2329,Cheryl Foster,completed,home_win,https://fbref.com/en/squads/23bce84e/2022-2023/Leicester-City-Women-Stats,https://fbref.com/en/squads/fa2752bc/2022-2023/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/matches/eb1c0e3c/Leicester-City-Brighton-and-Hove-Albion-January-15-2023-Womens-Super-League
11,2023-01-15,Sun,18:45 (10:45),West Ham,Manchester City,,1,0–1,0.8,3.7,Chigwell Construction Stadium,1586,Amy Fearn,completed,away_win,https://fbref.com/en/squads/52d65cea/2022-2023/West-Ham-United-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2022-2023/Manchester-City-Women-Stats,https://fbref.com/en/matches/0ad5e0c8/West-Ham-United-Manchester-City-January-15-2023-Womens-Super-League
12,2023-01-21,Sat,11:30 (03:30),Manchester City,Aston Villa,1,1,1–1,2.0,0.7,Academy Stadium,,Cheryl Foster,completed,draw,https://fbref.com/en/squads/9ce68f8a/2022-2023/Manchester-City-Women-Stats,https://fbref.com/en/squads/53157aa8/2022-2023/Aston-Villa-Women-Stats,https://fbref.com/en/matches/b705d37d/Manchester-City-Aston-Villa-January-21-2023-Womens-Super-League
12,2023-01-22,Sun,14:00 (06:00),Reading,Manchester Utd,,1,0–1,0.3,2.4,Select Car Leasing Stadium,5108,Richie Watkins,completed,away_win,https://fbref.com/en/squads/5d020380/Reading-Women-Stats,https://fbref.com/en/squads/0bbd83f6/2022-2023/Manchester-United-Women-Stats,https://fbref.com/en/matches/921b2f07/Reading-Manchester-United-January-22-2023-Womens-Super-League
12,2023-01-22,Sun,14:00 (06:00),Everton,West Ham,3,,3–0,0.8,0.7,Walton Hall Park,,Tom Nield,completed,home_win,https://fbref.com/en/squads/c4989550/2022-2023/Everton-Women-Stats,https://fbref.com/en/squads/52d65cea/2022-2023/West-Ham-United-Women-Stats,https://fbref.com/en/matches/15e98574/Everton-West-Ham-United-January-22-2023-Womens-Super-League
13,2023-02-04,Sat,11:30 (03:30),Leicester City,Manchester City,,2,0–2,0.3,3.4,King Power Stadium,,Amy Fearn,completed,away_win,https://fbref.com/en/squads/23bce84e/2022-2023/Leicester-City-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2022-2023/Manchester-City-Women-Stats,https://fbref.com/en/matches/c2df4899/Leicester-City-Manchester-City-February-4-2023-Womens-Super-League
